country,iso3,inform_risk,hazard_score,conflict_score,vulnerability_score,coping_capacity_score
Togo,TGO,5.3,4.2,5.2,5.5,6.5
Tonga,TON,3,2.2,0,2.7,4.4
Trinidad and Tobago,TTO,3.3,3.5,1,3.1,3.4
Tunisia,TUN,3.5,4,3.1,2.4,4.5
Türkiye,TUR,5.4,7.7,8.7,4.6,4.4
Turkmenistan,TKM,2.9,3.1,2.4,1.5,5
Tuvalu,TUV,2.5,1.3,0,2.7,4.5
Uganda,UGA,6.5,6.1,3.3,6.9,6.6
Ukraine,UKR,5.6,7.9,10,6.1,3.6
United Arab Emirates,ARE,2.3,4,1.7,1,3
United Kingdom,GBR,2.1,2,0.3,3,1.6
United States of America,USA,3.2,5.1,4.1,3.3,2
Uruguay,URY,2.5,1.7,0,3.1,3.1
Uzbekistan,UZB,3.6,4.9,3.2,2.9,3.4
Vanuatu,VUT,4.5,2.9,0,5.2,6
Venezuela,VEN,5.9,7,4.9,4.1,7
Viet Nam,VNM,4,5.2,1.7,2.8,4.3
Yemen,YEM,8.1,7.8,8.7,8.4,8.1
Zambia,ZMB,5.5,3.8,2.6,6.7,6.5
Zimbabwe,ZWE,5.3,4.1,4.1,6,6
